County|Contest|Candidate|CountyVotes|CountyPercent|StateVotes|StatePercent
Allen|United States Senate|D-Lisa Johnston|1103|26|215270|26
Allen|United States Senate|L-Michael Wm. Dann|109|3|17437|2
Allen|United States Senate|F-Joseph (Joe) K. Bellis|68|2|11356|1
Allen|United States Senate|R-Jerry Moran|3026|70|578768|70
Allen|United States House of Representatives 002|D-Cheryl Hudspeth|1154|27|65448|32
Allen|United States House of Representatives 002|L-Robert Garrard|142|3|9166|5
Allen|United States House of Representatives 002|R-Lynn Jenkins|3001|70|128083|63
Allen|Governor / Lt. Governor|D-Tom Holland|1213|28|264214|32
Allen|Governor / Lt. Governor|L-Andrew P. Gray|111|3|21932|3
Allen|Governor / Lt. Governor|F-Kenneth (Ken) W. Cannon|95|2|15050|2
Allen|Governor / Lt. Governor|R-Sam Brownback|2967|68|522540|63
Allen|Secretary of State|D-Chris Biggs|1463|34|302102|37
Allen|Secretary of State|L-Phillip Horatio Lucas|141|3|16946|2
Allen|Secretary of State|F-Derek Langseth|118|3|13482|2
Allen|Secretary of State|R-Kris Kobach|2593|60|482979|59
Allen|Attorney General|D-Steve Six|1186|27|342004|42
Allen|Attorney General|L-Dennis Hawver|98|2|24000|3
Allen|Attorney General|R-Derek Schmidt|3123|71|453629|55
Allen|State Treasurer|D-Dennis McKinney|1941|45|334245|41
Allen|State Treasurer|R-Ron Estes|2364|55|474175|59
Allen|Member, State Board of Education 009|D-Robert E. Medford|1236|30|22129|32
Allen|Member, State Board of Education 009|R-Jana Shaver|2926|70|48156|69
Allen|Supreme Court Justice- 01|Carol A. Beier  - YES|2396|63|439474|63
Allen|Supreme Court Justice- 01|Carol A. Beier - NO|1436|38|256806|37
Allen|Supreme Court Justice- 02|Dan Biles  - YES|2255|60|424952|62
Allen|Supreme Court Justice- 02|Dan Biles - NO|1492|40|261169|38
Allen|Supreme Court Justice- 03|Lawton R. Nuss  - YES|2284|61|428828|63
Allen|Supreme Court Justice- 03|Lawton R. Nuss - NO|1473|39|257019|38
Allen|Supreme Court Justice- 05|Marla J. Luckert  - YES|2276|61|428714|63
Allen|Supreme Court Justice- 05|Marla J. Luckert - NO|1452|39|255057|37
Allen|Constitutional Amendment 1 - Bear Arms|C.A. #1 -  YES|3961|92|710255|89
Allen|Constitutional Amendment 1 - Bear Arms|C.A. #1 - NO|332|8|91004|11
Allen|Constitutional Amendment 2 - Vote Rights|C.A. #2  - YES|2640|63|493764|62
Allen|Constitutional Amendment 2 - Vote Rights|C.A. #2 - NO|1580|37|297382|38
Anderson|United States Senate|D-Lisa Johnston|575|21|215270|26
Anderson|United States Senate|L-Michael Wm. Dann|116|4|17437|2
Anderson|United States Senate|F-Joseph (Joe) K. Bellis|54|2|11356|1
Anderson|United States Senate|R-Jerry Moran|1951|72|578768|70
Anderson|United States House of Representatives 002|D-Cheryl Hudspeth|593|22|65448|32
Anderson|United States House of Representatives 002|L-Robert Garrard|167|6|9166|5
Anderson|United States House of Representatives 002|R-Lynn Jenkins|1932|72|128083|63
Anderson|Governor / Lt. Governor|D-Tom Holland|710|26|264214|32
Anderson|Governor / Lt. Governor|L-Andrew P. Gray|106|4|21932|3
Anderson|Governor / Lt. Governor|F-Kenneth (Ken) W. Cannon|62|2|15050|2
Anderson|Governor / Lt. Governor|R-Sam Brownback|1887|68|522540|63
Anderson|Secretary of State|D-Chris Biggs|835|31|302102|37
Anderson|Secretary of State|L-Phillip Horatio Lucas|84|3|16946|2
Anderson|Secretary of State|F-Derek Langseth|80|3|13482|2
Anderson|Secretary of State|R-Kris Kobach|1690|63|482979|59
Anderson|Attorney General|D-Steve Six|1004|37|342004|42
Anderson|Attorney General|L-Dennis Hawver|114|4|24000|3
Anderson|Attorney General|R-Derek Schmidt|1595|59|453629|55
Anderson|State Treasurer|D-Dennis McKinney|1198|45|334245|41
Anderson|State Treasurer|R-Ron Estes|1459|55|474175|59
Anderson|Member, State Board of Education 009|D-Robert E. Medford|243|27|22129|32
Anderson|Member, State Board of Education 009|R-Jana Shaver|658|73|48156|69
Anderson|Supreme Court Justice- 01|Carol A. Beier  - YES|1264|54|439474|63
Anderson|Supreme Court Justice- 01|Carol A. Beier - NO|1091|46|256806|37
Anderson|Supreme Court Justice- 02|Dan Biles  - YES|1139|50|424952|62
Anderson|Supreme Court Justice- 02|Dan Biles - NO|1139|50|261169|38
Anderson|Supreme Court Justice- 03|Lawton R. Nuss  - YES|1172|52|428828|63
Anderson|Supreme Court Justice- 03|Lawton R. Nuss - NO|1087|48|257019|38
Anderson|Supreme Court Justice- 05|Marla J. Luckert  - YES|1194|52|428714|63
Anderson|Supreme Court Justice- 05|Marla J. Luckert - NO|1088|48|255057|37
Anderson|Constitutional Amendment 1 - Bear Arms|C.A. #1 -  YES|2526|95|710255|89
Anderson|Constitutional Amendment 1 - Bear Arms|C.A. #1 - NO|147|6|91004|11
Anderson|Constitutional Amendment 2 - Vote Rights|C.A. #2  - YES|1604|62|493764|62
Anderson|Constitutional Amendment 2 - Vote Rights|C.A. #2 - NO|1000|38|297382|38
Atchison|United States Senate|D-Lisa Johnston|1397|30|215270|26
Atchison|United States Senate|L-Michael Wm. Dann|102|2|17437|2
Atchison|United States Senate|F-Joseph (Joe) K. Bellis|58|1|11356|1
Atchison|United States Senate|R-Jerry Moran|3047|66|578768|70
Atchison|United States House of Representatives 002|D-Cheryl Hudspeth|1415|31|65448|32
Atchison|United States House of Representatives 002|L-Robert Garrard|182|4|9166|5
Atchison|United States House of Representatives 002|R-Lynn Jenkins|2971|65|128083|63
Atchison|Governor / Lt. Governor|D-Tom Holland|1570|34|264214|32
Atchison|Governor / Lt. Governor|L-Andrew P. Gray|128|3|21932|3
Atchison|Governor / Lt. Governor|F-Kenneth (Ken) W. Cannon|79|2|15050|2
Atchison|Governor / Lt. Governor|R-Sam Brownback|2830|61|522540|63
Atchison|Secretary of State|D-Chris Biggs|1731|38|302102|37
Atchison|Secretary of State|L-Phillip Horatio Lucas|90|2|16946|2
Atchison|Secretary of State|F-Derek Langseth|86|2|13482|2
Atchison|Secretary of State|R-Kris Kobach|2641|58|482979|59
Atchison|Attorney General|D-Steve Six|1979|43|342004|42
Atchison|Attorney General|L-Dennis Hawver|216|5|24000|3
Atchison|Attorney General|R-Derek Schmidt|2369|52|453629|55
Atchison|State Treasurer|D-Dennis McKinney|1964|43|334245|41
Atchison|State Treasurer|R-Ron Estes|2570|57|474175|59
Atchison|Kansas House of Representatives 040|D-Melanie Meier|87|60|1912|51
Atchison|Kansas House of Representatives 040|R-Sandra Bohne|59|40|1871|50
Atchison|Kansas House of Representatives 047|D-Jim Faris|164|29|2210|33
Atchison|Kansas House of Representatives 047|R-Lee Tafanelli|402|71|4513|67
Atchison|Supreme Court Justice- 01|Carol A. Beier  - YES|2272|58|439474|63
Atchison|Supreme Court Justice- 01|Carol A. Beier - NO|1655|42|256806|37
Atchison|Supreme Court Justice- 02|Dan Biles  - YES|2130|56|424952|62
Atchison|Supreme Court Justice- 02|Dan Biles - NO|1688|44|261169|38
Atchison|Supreme Court Justice- 03|Lawton R. Nuss  - YES|2165|57|428828|63
Atchison|Supreme Court Justice- 03|Lawton R. Nuss - NO|1667|44|257019|38
Atchison|Supreme Court Justice- 05|Marla J. Luckert  - YES|2163|57|428714|63
Atchison|Supreme Court Justice- 05|Marla J. Luckert - NO|1635|43|255057|37
Atchison|Constitutional Amendment 1 - Bear Arms|C.A. #1 -  YES|3975|90|710255|89
Atchison|Constitutional Amendment 1 - Bear Arms|C.A. #1 - NO|452|10|91004|11
Atchison|Constitutional Amendment 2 - Vote Rights|C.A. #2  - YES|2576|59|493764|62
Atchison|Constitutional Amendment 2 - Vote Rights|C.A. #2 - NO|1794|41|297382|38
Barber|United States Senate|D-Lisa Johnston|240|12|215270|26
Barber|United States Senate|L-Michael Wm. Dann|31|2|17437|2
Barber|United States Senate|F-Joseph (Joe) K. Bellis|22|1|11356|1
Barber|United States Senate|R-Jerry Moran|1725|86|578768|70
Barber|United States House of Representatives 001|D-Alan Jilka|318|16|43385|23
Barber|United States House of Representatives 001|L-Jack Warner|64|3|6415|3
Barber|United States House of Representatives 001|R-Tim Huelskamp|1620|81|140447|74
Barber|Governor / Lt. Governor|D-Tom Holland|384|19|264214|32
Barber|Governor / Lt. Governor|L-Andrew P. Gray|35|2|21932|3
Barber|Governor / Lt. Governor|F-Kenneth (Ken) W. Cannon|45|2|15050|2
Barber|Governor / Lt. Governor|R-Sam Brownback|1560|77|522540|63
Barber|Secretary of State|D-Chris Biggs|489|25|302102|37
Barber|Secretary of State|L-Phillip Horatio Lucas|33|2|16946|2
Barber|Secretary of State|F-Derek Langseth|54|3|13482|2
Barber|Secretary of State|R-Kris Kobach|1399|71|482979|59
Barber|Attorney General|D-Steve Six|591|29|342004|42
Barber|Attorney General|L-Dennis Hawver|47|2|24000|3
Barber|Attorney General|R-Derek Schmidt|1373|68|453629|55
Barber|State Treasurer|D-Dennis McKinney|1287|64|334245|41
Barber|State Treasurer|R-Ron Estes|728|36|474175|59
Barber|Kansas House of Representatives 116|D-Patrick J. Maloney|726|36|3217|43
Barber|Kansas House of Representatives 116|R-Kyle D. Hoffman|1279|64|4208|57
Barber|Supreme Court Justice- 01|Carol A. Beier  - YES|966|56|439474|63
Barber|Supreme Court Justice- 01|Carol A. Beier - NO|769|44|256806|37
Barber|Supreme Court Justice- 02|Dan Biles  - YES|913|53|424952|62
Barber|Supreme Court Justice- 02|Dan Biles - NO|798|47|261169|38
Barber|Supreme Court Justice- 03|Lawton R. Nuss  - YES|920|54|428828|63
Barber|Supreme Court Justice- 03|Lawton R. Nuss - NO|778|46|257019|38
Barber|Supreme Court Justice- 05|Marla J. Luckert  - YES|930|54|428714|63
Barber|Supreme Court Justice- 05|Marla J. Luckert - NO|778|46|255057|37
Barber|Constitutional Amendment 1 - Bear Arms|C.A. #1 -  YES|1870|95|710255|89
Barber|Constitutional Amendment 1 - Bear Arms|C.A. #1 - NO|104|5|91004|11
Barber|Constitutional Amendment 2 - Vote Rights|C.A. #2  - YES|1163|60|493764|62
Barber|Constitutional Amendment 2 - Vote Rights|C.A. #2 - NO|769|40|297382|38
Barton|United States Senate|D-Lisa Johnston|851|10|215270|26
Barton|United States Senate|L-Michael Wm. Dann|136|2|17437|2
Barton|United States Senate|F-Joseph (Joe) K. Bellis|70|1|11356|1
Barton|United States Senate|R-Jerry Moran|7097|87|578768|70
Barton|United States House of Representatives 001|D-Alan Jilka|1499|19|43385|23
Barton|United States House of Representatives 001|L-Jack Warner|255|3|6415|3
Barton|United States House of Representatives 001|R-Tim Huelskamp|6313|78|140447|74
Barton|Governor / Lt. Governor|D-Tom Holland|1491|18|264214|32
Barton|Governor / Lt. Governor|L-Andrew P. Gray|198|2|21932|3
Barton|Governor / Lt. Governor|F-Kenneth (Ken) W. Cannon|148|2|15050|2
Barton|Governor / Lt. Governor|R-Sam Brownback|6256|77|522540|63
Barton|Secretary of State|D-Chris Biggs|2482|31|302102|37
Barton|Secretary of State|L-Phillip Horatio Lucas|136|2|16946|2
Barton|Secretary of State|F-Derek Langseth|156|2|13482|2
Barton|Secretary of State|R-Kris Kobach|5206|65|482979|59
Barton|Attorney General|D-Steve Six|3419|42|342004|42
Barton|Attorney General|L-Dennis Hawver|207|3|24000|3
Barton|Attorney General|R-Derek Schmidt|4528|56|453629|55
Barton|State Treasurer|D-Dennis McKinney|3038|38|334245|41
Barton|State Treasurer|R-Ron Estes|4940|62|474175|59
Barton|Kansas House of Representatives 112|D-Christina Stein|2307|40|2307|40
Barton|Kansas House of Representatives 112|R-Bill Wolf|3432|60|3432|60
Barton|Supreme Court Justice- 01|Carol A. Beier  - YES|4505|62|439474|63
Barton|Supreme Court Justice- 01|Carol A. Beier - NO|2732|38|256806|37
Barton|Supreme Court Justice- 02|Dan Biles  - YES|4419|61|424952|62
Barton|Supreme Court Justice- 02|Dan Biles - NO|2777|39|261169|38
Barton|Supreme Court Justice- 03|Lawton R. Nuss  - YES|4608|64|428828|63
Barton|Supreme Court Justice- 03|Lawton R. Nuss - NO|2622|36|257019|38
Barton|Supreme Court Justice- 05|Marla J. Luckert  - YES|4437|62|428714|63
Barton|Supreme Court Justice- 05|Marla J. Luckert - NO|2741|38|255057|37
Barton|Constitutional Amendment 1 - Bear Arms|C.A. #1 -  YES|7592|94|710255|89
Barton|Constitutional Amendment 1 - Bear Arms|C.A. #1 - NO|494|6|91004|11
Barton|Constitutional Amendment 2 - Vote Rights|C.A. #2  - YES|4976|63|493764|62
Barton|Constitutional Amendment 2 - Vote Rights|C.A. #2 - NO|2985|38|297382|38
Bourbon|United States Senate|D-Lisa Johnston|1228|26|215270|26
Bourbon|United States Senate|L-Michael Wm. Dann|88|2|17437|2
Bourbon|United States Senate|F-Joseph (Joe) K. Bellis|87|2|11356|1
Bourbon|United States Senate|R-Jerry Moran|3338|70|578768|70
Bourbon|United States House of Representatives 002|D-Cheryl Hudspeth|1127|24|65448|32
Bourbon|United States House of Representatives 002|L-Robert Garrard|148|3|9166|5
Bourbon|United States House of Representatives 002|R-Lynn Jenkins|3415|73|128083|63
Bourbon|Governor / Lt. Governor|D-Tom Holland|1121|24|264214|32
Bourbon|Governor / Lt. Governor|L-Andrew P. Gray|107|2|21932|3
Bourbon|Governor / Lt. Governor|F-Kenneth (Ken) W. Cannon|84|2|15050|2
Bourbon|Governor / Lt. Governor|R-Sam Brownback|3416|72|522540|63
Bourbon|Secretary of State|D-Chris Biggs|1348|29|302102|37
Bourbon|Secretary of State|L-Phillip Horatio Lucas|99|2|16946|2
Bourbon|Secretary of State|F-Derek Langseth|77|2|13482|2
Bourbon|Secretary of State|R-Kris Kobach|3160|68|482979|59
Bourbon|Attorney General|D-Steve Six|1457|31|342004|42
Bourbon|Attorney General|L-Dennis Hawver|138|3|24000|3
Bourbon|Attorney General|R-Derek Schmidt|3096|66|453629|55
Bourbon|State Treasurer|D-Dennis McKinney|1870|40|334245|41
Bourbon|State Treasurer|R-Ron Estes|2781|60|474175|59
Bourbon|Kansas House of Representatives 002|D-Robert Bob Grant|343|32|3509|54
Bourbon|Kansas House of Representatives 002|L-Larry Monaghan|26|2|167|3
Bourbon|Kansas House of Representatives 002|R-Jeffrey G. Jeff Locke|721|66|2781|43
Bourbon|Kansas House of Representatives 004|D-Shirley J. Palmer|1660|45|2652|40
Bourbon|Kansas House of Representatives 004|R-Caryn Tyson|2031|55|3997|60
Bourbon|Member, State Board of Education 009|D-Robert E. Medford|1531|34|22129|32
Bourbon|Member, State Board of Education 009|R-Jana Shaver|2993|66|48156|69
Bourbon|Supreme Court Justice- 01|Carol A. Beier  - YES|2429|58|439474|63
Bourbon|Supreme Court Justice- 01|Carol A. Beier - NO|1736|42|256806|37
Bourbon|Supreme Court Justice- 02|Dan Biles  - YES|2393|58|424952|62
Bourbon|Supreme Court Justice- 02|Dan Biles - NO|1744|42|261169|38
Bourbon|Supreme Court Justice- 03|Lawton R. Nuss  - YES|2446|59|428828|63
Bourbon|Supreme Court Justice- 03|Lawton R. Nuss - NO|1711|41|257019|38
Bourbon|Supreme Court Justice- 05|Marla J. Luckert  - YES|2358|58|428714|63
Bourbon|Supreme Court Justice- 05|Marla J. Luckert - NO|1720|42|255057|37
Bourbon|Constitutional Amendment 1 - Bear Arms|C.A. #1 -  YES|4183|92|710255|89
Bourbon|Constitutional Amendment 1 - Bear Arms|C.A. #1 - NO|373|8|91004|11
Bourbon|Constitutional Amendment 2 - Vote Rights|C.A. #2  - YES|2685|60|493764|62
Bourbon|Constitutional Amendment 2 - Vote Rights|C.A. #2 - NO|1814|40|297382|38
Brown|United States Senate|D-Lisa Johnston|480|16|215270|26
Brown|United States Senate|L-Michael Wm. Dann|75|3|17437|2
Brown|United States Senate|F-Joseph (Joe) K. Bellis|45|2|11356|1
Brown|United States Senate|R-Jerry Moran|2352|80|578768|70
Brown|United States House of Representatives 002|D-Cheryl Hudspeth|599|20|65448|32
Brown|United States House of Representatives 002|L-Robert Garrard|162|6|9166|5
Brown|United States House of Representatives 002|R-Lynn Jenkins|2170|74|128083|63
Brown|Governor / Lt. Governor|D-Tom Holland|652|22|264214|32
Brown|Governor / Lt. Governor|L-Andrew P. Gray|95|3|21932|3
Brown|Governor / Lt. Governor|F-Kenneth (Ken) W. Cannon|81|3|15050|2
Brown|Governor / Lt. Governor|R-Sam Brownback|2151|72|522540|63
Brown|Secretary of State|D-Chris Biggs|781|27|302102|37
Brown|Secretary of State|L-Phillip Horatio Lucas|71|2|16946|2
Brown|Secretary of State|F-Derek Langseth|59|2|13482|2
Brown|Secretary of State|R-Kris Kobach|2021|69|482979|59
Brown|Attorney General|D-Steve Six|971|33|342004|42
Brown|Attorney General|L-Dennis Hawver|82|3|24000|3
Brown|Attorney General|R-Derek Schmidt|1906|64|453629|55
Brown|State Treasurer|D-Dennis McKinney|917|32|334245|41
Brown|State Treasurer|R-Ron Estes|1966|68|474175|59
Brown|Kansas House of Representatives 062|D-Steve Lukert|1238|42|3307|46
Brown|Kansas House of Representatives 062|R-Randy Garber|1737|58|3863|54
Brown|Supreme Court Justice- 01|Carol A. Beier  - YES|1720|66|439474|63
Brown|Supreme Court Justice- 01|Carol A. Beier - NO|879|34|256806|37
Brown|Supreme Court Justice- 02|Dan Biles  - YES|1638|65|424952|62
Brown|Supreme Court Justice- 02|Dan Biles - NO|902|36|261169|38
Brown|Supreme Court Justice- 03|Lawton R. Nuss  - YES|1610|64|428828|63
Brown|Supreme Court Justice- 03|Lawton R. Nuss - NO|892|36|257019|38
Brown|Supreme Court Justice- 05|Marla J. Luckert  - YES|1624|65|428714|63
Brown|Supreme Court Justice- 05|Marla J. Luckert - NO|863|35|255057|37
Brown|Constitutional Amendment 1 - Bear Arms|C.A. #1 -  YES|2671|92|710255|89
Brown|Constitutional Amendment 1 - Bear Arms|C.A. #1 - NO|225|8|91004|11
Brown|Constitutional Amendment 2 - Vote Rights|C.A. #2  - YES|1802|63|493764|62
Brown|Constitutional Amendment 2 - Vote Rights|C.A. #2 - NO|1052|37|297382|38
Butler|United States Senate|D-Lisa Johnston|3990|20|215270|26
Butler|United States Senate|L-Michael Wm. Dann|433|2|17437|2
Butler|United States Senate|F-Joseph (Joe) K. Bellis|269|1|11356|1
Butler|United States Senate|R-Jerry Moran|15698|77|578768|70
Butler|United States House of Representatives 004|D-Raj Goyle|6326|31|71866|36
Butler|United States House of Representatives 004|L-Shawn Smith|507|3|4487|2
Butler|United States House of Representatives 004|F-Susan G. Ducey|596|3|4885|3
Butler|United States House of Representatives 004|R-Mike Pompeo|13026|64|117171|59
Butler|Governor / Lt. Governor|D-Tom Holland|5184|25|264214|32
Butler|Governor / Lt. Governor|L-Andrew P. Gray|507|3|21932|3
Butler|Governor / Lt. Governor|F-Kenneth (Ken) W. Cannon|510|3|15050|2
Butler|Governor / Lt. Governor|R-Sam Brownback|14262|70|522540|63
Butler|Secretary of State|D-Chris Biggs|5865|29|302102|37
Butler|Secretary of State|L-Phillip Horatio Lucas|979|5|16946|2
Butler|Secretary of State|F-Derek Langseth|353|2|13482|2
Butler|Secretary of State|R-Kris Kobach|13051|65|482979|59
Butler|Attorney General|D-Steve Six|7277|36|342004|42
Butler|Attorney General|L-Dennis Hawver|615|3|24000|3
Butler|Attorney General|R-Derek Schmidt|12502|61|453629|55
Butler|State Treasurer|D-Dennis McKinney|6557|33|334245|41
Butler|State Treasurer|R-Ron Estes|13582|67|474175|59
Butler|Kansas House of Representatives 075|D-Glenda Reynolds|1986|29|1986|29
Butler|Kansas House of Representatives 075|R-John C. Grange|4879|71|4879|71
Butler|Kansas House of Representatives 078|i-Larry Alley|500|60|2563|42
Butler|Kansas House of Representatives 078|D-Ed Trimmer|332|40|3494|58
Butler|Supreme Court Justice- 01|Carol A. Beier  - YES|11604|64|439474|63
Butler|Supreme Court Justice- 01|Carol A. Beier - NO|6419|36|256806|37
Butler|Supreme Court Justice- 02|Dan Biles  - YES|11387|64|424952|62
Butler|Supreme Court Justice- 02|Dan Biles - NO|6425|36|261169|38
Butler|Supreme Court Justice- 03|Lawton R. Nuss  - YES|11366|64|428828|63
Butler|Supreme Court Justice- 03|Lawton R. Nuss - NO|6332|36|257019|38
Butler|Supreme Court Justice- 05|Marla J. Luckert  - YES|11306|64|428714|63
Butler|Supreme Court Justice- 05|Marla J. Luckert - NO|6348|36|255057|37
Butler|Constitutional Amendment 1 - Bear Arms|C.A. #1 -  YES|18993|94|710255|89
Butler|Constitutional Amendment 1 - Bear Arms|C.A. #1 - NO|1277|6|91004|11
Butler|Constitutional Amendment 2 - Vote Rights|C.A. #2  - YES|12429|63|493764|62
Butler|Constitutional Amendment 2 - Vote Rights|C.A. #2 - NO|7456|38|297382|38
Chase|United States Senate|D-Lisa Johnston|161|15|215270|26
Chase|United States Senate|L-Michael Wm. Dann|27|3|17437|2
Chase|United States Senate|F-Joseph (Joe) K. Bellis|11|1|11356|1
Chase|United States Senate|R-Jerry Moran|872|81|578768|70
Chase|United States House of Representatives 001|D-Alan Jilka|249|23|43385|23
Chase|United States House of Representatives 001|L-Jack Warner|43|4|6415|3
Chase|United States House of Representatives 001|R-Tim Huelskamp|773|73|140447|74
Chase|Governor / Lt. Governor|D-Tom Holland|262|25|264214|32
Chase|Governor / Lt. Governor|L-Andrew P. Gray|42|4|21932|3
Chase|Governor / Lt. Governor|F-Kenneth (Ken) W. Cannon|19|2|15050|2
Chase|Governor / Lt. Governor|R-Sam Brownback|746|70|522540|63
Chase|Secretary of State|D-Chris Biggs|318|31|302102|37
Chase|Secretary of State|L-Phillip Horatio Lucas|32|3|16946|2
Chase|Secretary of State|F-Derek Langseth|11|1|13482|2
Chase|Secretary of State|R-Kris Kobach|680|65|482979|59
Chase|Attorney General|D-Steve Six|364|35|342004|42
Chase|Attorney General|L-Dennis Hawver|45|4|24000|3
Chase|Attorney General|R-Derek Schmidt|645|61|453629|55
Chase|State Treasurer|D-Dennis McKinney|360|35|334245|41
Chase|State Treasurer|R-Ron Estes|668|65|474175|59
Chase|Kansas Senate 017|D-Jerry Karr|476|45|8108|44
Chase|Kansas Senate 017|R-Jeff Longbine|584|55|10475|56
Chase|Member, State Board of Education 009|D-Robert E. Medford|276|28|22129|32
Chase|Member, State Board of Education 009|R-Jana Shaver|709|72|48156|69
Chase|Supreme Court Justice- 01|Carol A. Beier  - YES|513|58|439474|63
Chase|Supreme Court Justice- 01|Carol A. Beier - NO|374|42|256806|37
Chase|Supreme Court Justice- 02|Dan Biles  - YES|497|57|424952|62
Chase|Supreme Court Justice- 02|Dan Biles - NO|376|43|261169|38
Chase|Supreme Court Justice- 03|Lawton R. Nuss  - YES|508|58|428828|63
Chase|Supreme Court Justice- 03|Lawton R. Nuss - NO|364|42|257019|38
Chase|Supreme Court Justice- 05|Marla J. Luckert  - YES|495|57|428714|63
Chase|Supreme Court Justice- 05|Marla J. Luckert - NO|369|43|255057|37
Chase|Constitutional Amendment 1 - Bear Arms|C.A. #1 -  YES|985|92|710255|89
Chase|Constitutional Amendment 1 - Bear Arms|C.A. #1 - NO|82|8|91004|11
Chase|Constitutional Amendment 2 - Vote Rights|C.A. #2  - YES|628|60|493764|62
Chase|Constitutional Amendment 2 - Vote Rights|C.A. #2 - NO|414|40|297382|38
Chautauqua|United States Senate|D-Lisa Johnston|170|14|215270|26
Chautauqua|United States Senate|L-Michael Wm. Dann|21|2|17437|2
Chautauqua|United States Senate|F-Joseph (Joe) K. Bellis|27|2|11356|1
Chautauqua|United States Senate|R-Jerry Moran|1042|83|578768|70
Chautauqua|United States House of Representatives 004|D-Raj Goyle|200|16|71866|36
Chautauqua|United States House of Representatives 004|L-Shawn Smith|31|2|4487|2
Chautauqua|United States House of Representatives 004|F-Susan G. Ducey|39|3|4885|3
Chautauqua|United States House of Representatives 004|R-Mike Pompeo|1001|79|117171|59
Chautauqua|Governor / Lt. Governor|D-Tom Holland|181|14|264214|32
Chautauqua|Governor / Lt. Governor|L-Andrew P. Gray|30|2|21932|3
Chautauqua|Governor / Lt. Governor|F-Kenneth (Ken) W. Cannon|42|3|15050|2
Chautauqua|Governor / Lt. Governor|R-Sam Brownback|1023|80|522540|63
Chautauqua|Secretary of State|D-Chris Biggs|221|18|302102|37
Chautauqua|Secretary of State|L-Phillip Horatio Lucas|31|3|16946|2
Chautauqua|Secretary of State|F-Derek Langseth|42|3|13482|2
Chautauqua|Secretary of State|R-Kris Kobach|949|76|482979|59
Chautauqua|Attorney General|D-Steve Six|177|14|342004|42
Chautauqua|Attorney General|L-Dennis Hawver|41|3|24000|3
Chautauqua|Attorney General|R-Derek Schmidt|1063|83|453629|55
Chautauqua|State Treasurer|D-Dennis McKinney|286|23|334245|41
Chautauqua|State Treasurer|R-Ron Estes|952|77|474175|59
Chautauqua|Kansas House of Representatives 012|D-Troy Bell|133|16|854|15
Chautauqua|Kansas House of Representatives 012|R-Jeff King|680|84|4811|85
Chautauqua|Member, State Board of Education 009|D-Robert E. Medford|173|14|22129|32
Chautauqua|Member, State Board of Education 009|R-Jana Shaver|1037|86|48156|69
Chautauqua|Supreme Court Justice- 01|Carol A. Beier  - YES|564|57|439474|63
Chautauqua|Supreme Court Justice- 01|Carol A. Beier - NO|426|43|256806|37
Chautauqua|Supreme Court Justice- 02|Dan Biles  - YES|540|56|424952|62
Chautauqua|Supreme Court Justice- 02|Dan Biles - NO|425|44|261169|38
Chautauqua|Supreme Court Justice- 03|Lawton R. Nuss  - YES|542|56|428828|63
Chautauqua|Supreme Court Justice- 03|Lawton R. Nuss - NO|425|44|257019|38
Chautauqua|Supreme Court Justice- 05|Marla J. Luckert  - YES|536|56|428714|63
Chautauqua|Supreme Court Justice- 05|Marla J. Luckert - NO|414|44|255057|37
Chautauqua|Constitutional Amendment 1 - Bear Arms|C.A. #1 -  YES|1192|97|710255|89
Chautauqua|Constitutional Amendment 1 - Bear Arms|C.A. #1 - NO|41|3|91004|11
Chautauqua|Constitutional Amendment 2 - Vote Rights|C.A. #2  - YES|771|63|493764|62
Chautauqua|Constitutional Amendment 2 - Vote Rights|C.A. #2 - NO|449|37|297382|38
Cherokee|United States Senate|D-Lisa Johnston|1820|31|215270|26
Cherokee|United States Senate|L-Michael Wm. Dann|166|3|17437|2
Cherokee|United States Senate|F-Joseph (Joe) K. Bellis|103|2|11356|1
Cherokee|United States Senate|R-Jerry Moran|3833|65|578768|70
Cherokee|United States House of Representatives 002|D-Cheryl Hudspeth|1836|31|65448|32
Cherokee|United States House of Representatives 002|L-Robert Garrard|214|4|9166|5
Cherokee|United States House of Representatives 002|R-Lynn Jenkins|3881|65|128083|63
Cherokee|Governor / Lt. Governor|D-Tom Holland|1661|28|264214|32
Cherokee|Governor / Lt. Governor|L-Andrew P. Gray|170|3|21932|3
Cherokee|Governor / Lt. Governor|F-Kenneth (Ken) W. Cannon|109|2|15050|2
Cherokee|Governor / Lt. Governor|R-Sam Brownback|4016|67|522540|63
Cherokee|Secretary of State|D-Chris Biggs|2007|34|302102|37
Cherokee|Secretary of State|L-Phillip Horatio Lucas|180|3|16946|2
Cherokee|Secretary of State|F-Derek Langseth|129|2|13482|2
Cherokee|Secretary of State|R-Kris Kobach|3556|61|482979|59
Cherokee|Attorney General|D-Steve Six|2104|36|342004|42
Cherokee|Attorney General|L-Dennis Hawver|211|4|24000|3
Cherokee|Attorney General|R-Derek Schmidt|3594|61|453629|55
Cherokee|State Treasurer|D-Dennis McKinney|2539|44|334245|41
Cherokee|State Treasurer|R-Ron Estes|3267|56|474175|59
Cherokee|Kansas House of Representatives 001|D-Doug Gatewood|2850|51|2850|51
Cherokee|Kansas House of Representatives 001|R-Michael Houser|2754|49|2754|49
Cherokee|Kansas House of Representatives 002|D-Robert Bob Grant|221|59|3509|54
